symbol,yf_ticker,name,exchange
CHAMBLFERT,CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Ltd.,NSE
CHENNPETRO,CHENNPETRO.NS,Chennai Petroleum Corporation Ltd.,NSE
CHOLAHLDNG,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.,NSE
CHOLAFIN,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,NSE
CIPLA,CIPLA.NS,Cipla Ltd.,NSE
CUB,CUB.NS,City Union Bank Ltd.,NSE
COALINDIA,COALINDIA.NS,Coal India Ltd.,NSE
COCHINSHIP,COCHINSHIP.NS,Cochin Shipyard Ltd.,NSE
COFFEEDAY,COFFEEDAY.NS,Coffee Day Enterprises Ltd.,NSE
COLPAL,COLPAL.NS,Colgate Palmolive (India) Ltd.,NSE
CONCOR,CONCOR.NS,Container Corporation of India Ltd.,NSE
COROMANDEL,COROMANDEL.NS,Coromandel International Ltd.,NSE
CORPBANK,CORPBANK.NS,Corporation Bank,NSE
COX&KINGS,COX&KINGS.NS,Cox & Kings Ltd.,NSE
CREDITACC,CREDITACC.NS,CreditAccess Grameen Ltd.,NSE
CROMPTON,CROMPTON.NS,Crompton Greaves Consumer Electricals Ltd.,NSE
CUMMINSIND,CUMMINSIND.NS,Cummins India Ltd.,NSE
CYIENT,CYIENT.NS,Cyient Ltd.,NSE
DBCORP,DBCORP.NS,D.B.Corp Ltd.,NSE
DCBBANK,DCBBANK.NS,DCB Bank Ltd.,NSE
DCMSHRIRAM,DCMSHRIRAM.NS,DCM Shriram Ltd.,NSE
DLF,DLF.NS,DLF Ltd.,NSE
DABUR,DABUR.NS,Dabur India Ltd.,NSE
DEEPAKFERT,DEEPAKFERT.NS,Deepak Fertilisers & Petrochemicals Corp. Ltd.,NSE
DEEPAKNTR,DEEPAKNTR.NS,Deepak Nitrite Ltd.,NSE
DELTACORP,DELTACORP.NS,Delta Corp Ltd.,NSE
DHFL,DHFL.NS,Dewan Housing Finance Corporation Ltd.,NSE
DBL,DBL.NS,Dilip Buildcon Ltd.,NSE
DISHTV,DISHTV.NS,Dish TV India Ltd.,NSE
DCAL,DCAL.NS,Dishman Carbogen Amcis Ltd.,NSE
