symbol,yf_ticker,name,exchange
SREINFRA,SREINFRA.NS,SREI Infrastructure Finance Ltd.,NSE
SRF,SRF.NS,SRF Ltd.,NSE
SADBHAV,SADBHAV.NS,Sadbhav Engineering Ltd.,NSE
SANOFI,SANOFI.NS,Sanofi India Ltd.,NSE
SCHAEFFLER,SCHAEFFLER.NS,Schaeffler India Ltd.,NSE
SIS,SIS.NS,Security and Intelligence Services (India) Ltd.,NSE
SHANKARA,SHANKARA.NS,Shankara Building Products Ltd.,NSE
SHARDACROP,SHARDACROP.NS,Sharda Cropchem Ltd.,NSE
SFL,SFL.NS,Sheela Foam Ltd.,NSE
SHILPAMED,SHILPAMED.NS,Shilpa Medicare Ltd.,NSE
SCI,SCI.NS,Shipping Corporation of India Ltd.,NSE
SHOPERSTOP,SHOPERSTOP.NS,Shoppers Stop Ltd.,NSE
SHREECEM,SHREECEM.NS,Shree Cement Ltd.,NSE
RENUKA,RENUKA.NS,Shree Renuka Sugars Ltd.,NSE
SHRIRAMCIT,SHRIRAMCIT.NS,Shriram City Union Finance Ltd.,NSE
SRTRANSFIN,SRTRANSFIN.NS,Shriram Transport Finance Co. Ltd.,NSE
SIEMENS,SIEMENS.NS,Siemens Ltd.,NSE
SPTL,SPTL.NS,Sintex Plastics Technology Ltd.,NSE
SOBHA,SOBHA.NS,Sobha Ltd.,NSE
SOLARINDS,SOLARINDS.NS,Solar Industries India Ltd.,NSE
SONATSOFTW,SONATSOFTW.NS,Sonata Software Ltd.,NSE
SOUTHBANK,SOUTHBANK.NS,South Indian Bank Ltd.,NSE
STARCEMENT,STARCEMENT.NS,Star Cement Ltd.,NSE
SBIN,SBIN.NS,State Bank of India,NSE
SAIL,SAIL.NS,Steel Authority of India Ltd.,NSE
STRTECH,STRTECH.NS,Sterlite Technologies Ltd.,NSE
STAR,STAR.NS,Strides Pharma Science Ltd.,NSE
SUDARSCHEM,SUDARSCHEM.NS,Sudarshan Chemical Industries Ltd.,NSE
SPARC,SPARC.NS,Sun Pharma Advanced Research Company Ltd.,NSE
SUNPHARMA,SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,NSE
SUNTV,SUNTV.NS,Sun TV Network Ltd.,NSE
SUNCLAYLTD,SUNCLAYLTD.NS,Sundaram Clayton Ltd.,NSE
SUNDARMFIN,SUNDARMFIN.NS,Sundaram Finance Ltd.,NSE
SUNDRMFAST,SUNDRMFAST.NS,Sundram Fasteners Ltd.,NSE
SUNTECK,SUNTECK.NS,Sunteck Realty Ltd.,NSE
SUPRAJIT,SUPRAJIT.NS,Suprajit Engineering Ltd.,NSE
SUPREMEIND,SUPREMEIND.NS,Supreme Industries Ltd.,NSE
SUVEN,SUVEN.NS,Suven Life Sciences Ltd.,NSE
SUZLON,SUZLON.NS,Suzlon Energy Ltd.,NSE
SWANENERGY,SWANENERGY.NS,Swan Energy Ltd.,NSE
SYMPHONY,SYMPHONY.NS,Symphony Ltd.,NSE
SYNDIBANK,SYNDIBANK.NS,Syndicate Bank,NSE
SYNGENE,SYNGENE.NS,Syngene International Ltd.,NSE
TCNSBRANDS,TCNSBRANDS.NS,TCNS Clothing Co. Ltd.,NSE
TTKPRESTIG,TTKPRESTIG.NS,TTK Prestige Ltd.,NSE
TVTODAY,TVTODAY.NS,TV Today Network Ltd.,NSE
TV18BRDCST,TV18BRDCST.NS,TV18 Broadcast Ltd.,NSE
TVSMOTOR,TVSMOTOR.NS,TVS Motor Company Ltd.,NSE
TAKE,TAKE.NS,Take Solutions Ltd.,NSE
TNPL,TNPL.NS,Tamil Nadu Newsprint & Papers Ltd.,NSE
TATACHEM,TATACHEM.NS,Tata Chemicals Ltd.,NSE
TATACOFFEE,TATACOFFEE.NS,Tata Coffee Ltd.,NSE
TCS,TCS.NS,Tata Consultancy Services Ltd.,NSE
TATAELXSI,TATAELXSI.NS,Tata Elxsi Ltd.,NSE
TATAGLOBAL,TATAGLOBAL.NS,Tata Global Beverages Ltd.,NSE
TATAINVEST,TATAINVEST.NS,Tata Investment Corporation Ltd.,NSE
TATAMTRDVR,TATAMTRDVR.NS,Tata Motors Ltd DVR,NSE
TATAMOTORS,TATAMOTORS.NS,Tata Motors Ltd.,NSE
TATAPOWER,TATAPOWER.NS,Tata Power Co. Ltd.,NSE
TATASTEEL,TATASTEEL.NS,Tata Steel Ltd.,NSE
TEAMLEASE,TEAMLEASE.NS,Teamlease Services Ltd.,NSE
TECHM,TECHM.NS,Tech Mahindra Ltd.,NSE
NIACL,NIACL.NS,The New India Assurance Company Ltd.,NSE
RAMCOCEM,RAMCOCEM.NS,The Ramco Cements Ltd.,NSE
THERMAX,THERMAX.NS,Thermax Ltd.,NSE
THOMASCOOK,THOMASCOOK.NS,Thomas Cook (India) Ltd.,NSE
THYROCARE,THYROCARE.NS,Thyrocare Technologies Ltd.,NSE
TIMETECHNO,TIMETECHNO.NS,Time Technoplast Ltd.,NSE
TIMKEN,TIMKEN.NS,Timken India Ltd.,NSE
TITAN,TITAN.NS,Titan Company Ltd.,NSE
TORNTPHARM,TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,NSE
TORNTPOWER,TORNTPOWER.NS,Torrent Power Ltd.,NSE
TRENT,TRENT.NS,Trent Ltd.,NSE
TRIDENT,TRIDENT.NS,Trident Ltd.,NSE
TRITURBINE,TRITURBINE.NS,Triveni Turbine Ltd.,NSE
TIINDIA,TIINDIA.NS,Tube Investments of India Ltd.,NSE
UCOBANK,UCOBANK.NS,UCO Bank,NSE
UFLEX,UFLEX.NS,UFLEX Ltd.,NSE
UPL,UPL.NS,UPL Ltd.,NSE
UJJIVAN,UJJIVAN.NS,Ujjivan Financial Services Ltd.,NSE
ULTRACEMCO,ULTRACEMCO.NS,UltraTech Cement Ltd.,NSE
UNIONBANK,UNIONBANK.NS,Union Bank of India,NSE
UBL,UBL.NS,United Breweries Ltd.,NSE
MCDOWELL-N,MCDOWELL-N.NS,United Spirits Ltd.,NSE
VGUARD,VGUARD.NS,V-Guard Industries Ltd.,NSE
VMART,VMART.NS,V-Mart Retail Ltd.,NSE
VIPIND,VIPIND.NS,V.I.P. Industries Ltd.,NSE
VRLLOG,VRLLOG.NS,VRL Logistics Ltd.,NSE
VSTIND,VSTIND.NS,VST Industries Ltd.,NSE
WABAG,WABAG.NS,Va Tech Wabag Ltd.,NSE
VAKRANGEE,VAKRANGEE.NS,Vakrangee Ltd.,NSE
VTL,VTL.NS,Vardhman Textiles Ltd.,NSE
VARROC,VARROC.NS,Varroc Engineering Ltd.,NSE
VBL,VBL.NS,Varun Beverages Ltd.,NSE
VEDL,VEDL.NS,Vedanta Ltd.,NSE
VENKEYS,VENKEYS.NS,Venky's (India) Ltd.,NSE
VINATIORGA,VINATIORGA.NS,Vinati Organics Ltd.,NSE
IDEA,IDEA.NS,Vodafone Idea Ltd.,NSE
VOLTAS,VOLTAS.NS,Voltas Ltd.,NSE
WABCOINDIA,WABCOINDIA.NS,WABCO India Ltd.,NSE
WELCORP,WELCORP.NS,Welspun Corp Ltd.,NSE
WELSPUNIND,WELSPUNIND.NS,Welspun India Ltd.,NSE
WHIRLPOOL,WHIRLPOOL.NS,Whirlpool of India Ltd.,NSE
WIPRO,WIPRO.NS,Wipro Ltd.,NSE
WOCKPHARMA,WOCKPHARMA.NS,Wockhardt Ltd.,NSE
YESBANK,YESBANK.NS,Yes Bank Ltd.,NSE
ZEEL,ZEEL.NS,Zee Entertainment Enterprises Ltd.,NSE
ZENSARTECH,ZENSARTECH.NS,Zensar Technolgies Ltd.,NSE
ZYDUSWELL,ZYDUSWELL.NS,Zydus Wellness Ltd.,NSE
ECLERX,ECLERX.NS,eClerx Services Ltd.,NSE
