symbol,name,exchange,yf_ticker,sector,close,sma50,sma200,high_52w,pct_off_high,r1m,r3m,r6m,r12m,turnover_cr,vol_surge,adr_pct,gap_pct,tightness_pct,vol_dryup,contracting,surfing_ma,dist_to_ma_pct,higher_lows,up_down_vol_ratio,under_accumulation,pocket_pivot,power_play,power_play_gain,vcp_contractions,vcp_footprint,range_pos,rolling_over,momentum,trend_template,stage2,vcp_setup,qm_breakout,price_gt_sma10,price_gt_sma20,price_gt_sma50,price_gt_sma150,price_gt_sma200,sma50_gt_sma150,sma150_gt_sma200,sma200_rising,within_25_of_high,above_30_of_low,rs_rating,setup_quality
TDPOWERSYS,TD POWER SYSTEMS,NSE,TDPOWERSYS.NS,Other,1225.8,1119.0,817.57,1379.6,11.15,0.51,50.34,80.6,183.49,237.58,0.66,6.23,-2.49,15.22,True,False,,,1,2.64,True,False,False,,2,12W 14/14 2T,17.58,True,107.69,True,True,False,False,False,False,True,True,True,True,True,True,True,True,90,55
AEROFLEX,AEROFLEX INDUSTRIES,NSE,AEROFLEX.NS,Other,399.0,336.58,227.41,458.7,13.02,-9.18,80.96,129.96,127.07,99.04,0.53,7.02,-4.71,17.42,True,False,,,3,2.49,True,False,True,100.02,2,12W 25/11 2T,43.35,False,105.09,True,True,False,False,False,True,True,True,True,True,True,True,True,True,90,68
GVT&D,GE VERNOVA T&D INDIA,NSE,GVT&D.NS,Other,4744.0,4407.13,3459.48,5222.1,9.16,2.56,23.08,58.21,202.92,496.63,1.22,5.29,-3.3,13.51,False,False,,,1,2.41,True,False,False,,0,,46.91,False,103.5,True,True,False,False,False,True,True,True,True,True,True,True,True,True,89,61
THANGAMAYL,THANGAMAYIL JEWELLERY,NSE,THANGAMAYL.NS,Other,5491.7,4029.9,3278.56,5764.2,4.73,29.32,47.61,71.0,161.95,135.09,3.47,7.1,-2.46,36.06,False,False,,,1,1.79,True,True,False,,0,,87.84,False,98.53,True,True,False,False,True,True,True,True,True,True,True,True,True,True,88,68
PRECWIRE,PRECISION WIRES INDIA,NSE,PRECWIRE.NS,Other,395.75,383.09,276.54,467.5,15.35,-6.03,12.22,66.32,192.87,33.89,0.52,5.96,-2.17,18.7,True,True,,,2,2.09,True,False,False,,3,12W 18/10 3T,30.68,True,98.88,True,True,False,False,False,False,True,True,True,True,True,True,True,True,88,65
SANSERA,SANSERA ENGINEERING,NSE,SANSERA.NS,Other,2905.9,2511.74,1927.51,2992.2,2.88,15.32,33.02,73.23,168.1,112.65,0.73,4.03,-1.37,6.76,True,True,,,1,1.75,True,False,False,,2,12W 12/7 2T,86.7,False,97.34,True,True,True,False,False,True,True,True,True,True,True,True,True,True,87,67
SILVERETF,SILVERETF,NSE,SILVERETF.NS,Other,203.98,160.3,120.9,205.43,0.71,36.98,51.94,98.06,134.27,41.59,1.14,2.38,0.52,14.18,False,False,,,0,1.28,True,True,False,,0,,96.26,False,97.21,True,True,False,False,True,True,True,True,True,True,True,True,True,True,86,59
NETWEB,NETWEB TECH INDIA,NSE,NETWEB.NS,Other,4264.5,3877.68,3491.36,4965.0,14.11,-3.57,28.29,35.2,202.15,970.0,1.76,6.13,-3.98,26.57,False,False,,,0,1.7,True,False,False,,0,,45.86,False,96.72,False,True,False,False,False,True,True,True,True,True,False,True,True,True,86,46
CONFIPET,CONFIDENCE PETRO IND,NSE,CONFIPET.NS,Other,77.4,58.38,43.12,80.57,3.93,41.45,163.8,131.53,49.77,29.63,0.35,8.24,0.0,26.64,True,False,,,4,2.66,True,False,False,,0,,86.69,False,96.27,False,True,False,False,True,True,True,True,True,True,False,True,True,True,85,56
SYRMA,SYRMA SGS TECHNOLOGY,NSE,SYRMA.NS,Other,1201.2,988.24,838.28,1234.0,2.66,9.19,57.82,63.84,158.1,197.65,0.7,4.52,-2.67,16.23,True,False,,,1,1.63,True,False,False,,0,,88.14,False,94.88,True,True,False,False,True,True,True,True,True,True,True,True,True,True,84,58
